year,district,demcount,grncount,lbtcount,gopcount,othcount,totcount,delta.prod,prod,delta.pror,pror
2017,16,27515,189,1161,52917,49421,131203,-0.126,20.971,0.066,40.332
2017,17,36247,184,1363,52120,48366,138280,-0.020,26.213,-0.153,37.692
2017,18,44252,334,1504,50299,47581,143970,-0.028,30.737,-0.176,34.937
2017,19,37574,120,775,14692,36058,89219,0.196,42.114,-0.090,16.467
2017,20,35246,273,1353,44458,44569,125899,-0.085,27.995,-0.052,35.312
2017,21,34515,190,978,47399,45547,128629,-0.126,26.833,-0.040,36.849
2017,22,31906,171,1021,69210,49518,151826,-0.123,21.015,-0.088,45.585
2017,23,34911,182,1267,72857,54248,163465,-0.067,21.357,-0.043,44.570
2017,24,44484,370,1346,23498,38167,107865,-0.102,41.240,-0.044,21.785
2017,25,29055,240,1325,59750,43691,134061,-0.051,21.673,-0.136,44.569
2017,26,33691,352,1337,21748,37150,94278,-0.034,35.736,-0.184,23.068
2017,27,45290,182,748,12549,35233,94002,0.152,48.180,0.082,13.350
2017,28,40167,275,1437,51378,43166,136423,-0.067,29.443,-0.170,37.661
2017,29,33125,114,820,14681,31693,80433,0.099,41.183,-0.135,18.252
2017,30,31476,184,812,16214,30845,79531,-0.017,39.577,-0.015,20.387
